case,act,time
0,M,20200422T0900
0,M,20200422T0901
0,M,20200422T0902
0,D,20200422T0903
0,I,20200422T0904
0,L,20200422T0905
0,B,20200422T0906
0,A,20200422T0907
0,N,20200422T0908
0,L,20200422T0909
0,O,20200422T0910
0,G,20200422T0911
0,D,20200422T0912
0,A,20200422T0913
0,P,20200422T0914
0,J,20200422T0915
0,H,20200422T0916
0,A,20200422T0917
0,E,20200422T0918
0,P,20200422T0919
0,G,20200422T0920
0,K,20200422T0921
0,B,20200422T0922
0,K,20200422T0923
0,E,20200422T0924
0,K,20200422T0925
0,B,20200422T0926
1,M,20200422T0900
1,M,20200422T0901
1,M,20200422T0902
1,D,20200422T0903
1,I,20200422T0904
1,L,20200422T0905
1,B,20200422T0906
1,A,20200422T0907
1,N,20200422T0908
1,L,20200422T0909
1,O,20200422T0910
1,G,20200422T0911
1,D,20200422T0912
1,A,20200422T0913
1,P,20200422T0914
1,J,20200422T0915
1,H,20200422T0916
1,A,20200422T0917
1,E,20200422T0918
1,P,20200422T0919
1,G,20200422T0920
1,K,20200422T0921
1,B,20200422T0922
1,K,20200422T0923
1,E,20200422T0924
1,K,20200422T0925
1,B,20200422T0926
2,M,20200422T0900
2,M,20200422T0901
2,M,20200422T0902
2,D,20200422T0903
2,I,20200422T0904
2,L,20200422T0905
2,B,20200422T0906
2,A,20200422T0907
2,N,20200422T0908
2,L,20200422T0909
2,O,20200422T0910
2,G,20200422T0911
2,D,20200422T0912
2,A,20200422T0913
2,P,20200422T0914
2,J,20200422T0915
2,H,20200422T0916
2,A,20200422T0917
2,E,20200422T0918
2,P,20200422T0919
2,G,20200422T0920
2,K,20200422T0921
2,B,20200422T0922
2,K,20200422T0923
2,E,20200422T0924
2,K,20200422T0925
2,B,20200422T0926
3,M,20200422T0900
3,M,20200422T0901
3,M,20200422T0902
3,D,20200422T0903
3,I,20200422T0904
3,L,20200422T0905
3,B,20200422T0906
3,A,20200422T0907
3,N,20200422T0908
3,L,20200422T0909
3,O,20200422T0910
3,G,20200422T0911
3,D,20200422T0912
3,A,20200422T0913
3,P,20200422T0914
3,J,20200422T0915
3,H,20200422T0916
3,A,20200422T0917
3,E,20200422T0918
3,P,20200422T0919
3,G,20200422T0920
3,K,20200422T0921
3,B,20200422T0922
3,K,20200422T0923
3,E,20200422T0924
3,K,20200422T0925
3,B,20200422T0926
4,M,20200422T0900
4,M,20200422T0901
4,M,20200422T0902
4,D,20200422T0903
4,I,20200422T0904
4,L,20200422T0905
4,B,20200422T0906
4,A,20200422T0907
4,N,20200422T0908
4,L,20200422T0909
4,O,20200422T0910
4,G,20200422T0911
4,D,20200422T0912
4,A,20200422T0913
4,P,20200422T0914
4,J,20200422T0915
4,H,20200422T0916
4,A,20200422T0917
4,E,20200422T0918
4,P,20200422T0919
4,G,20200422T0920
4,K,20200422T0921
4,B,20200422T0922
4,K,20200422T0923
4,E,20200422T0924
4,K,20200422T0925
4,B,20200422T0926
5,M,20200422T0900
5,M,20200422T0901
5,M,20200422T0902
5,D,20200422T0903
5,I,20200422T0904
5,L,20200422T0905
5,B,20200422T0906
5,A,20200422T0907
5,N,20200422T0908
5,L,20200422T0909
5,O,20200422T0910
5,G,20200422T0911
5,D,20200422T0912
5,A,20200422T0913
5,P,20200422T0914
5,J,20200422T0915
5,H,20200422T0916
5,A,20200422T0917
5,E,20200422T0918
5,P,20200422T0919
5,G,20200422T0920
5,K,20200422T0921
5,B,20200422T0922
5,K,20200422T0923
5,E,20200422T0924
5,K,20200422T0925
5,B,20200422T0926
6,M,20200422T0900
6,M,20200422T0901
6,M,20200422T0902
6,D,20200422T0903
6,I,20200422T0904
6,L,20200422T0905
6,B,20200422T0906
6,A,20200422T0907
6,N,20200422T0908
6,L,20200422T0909
6,O,20200422T0910
6,G,20200422T0911
6,D,20200422T0912
6,A,20200422T0913
6,P,20200422T0914
6,J,20200422T0915
6,H,20200422T0916
6,A,20200422T0917
6,E,20200422T0918
6,P,20200422T0919
6,G,20200422T0920
6,K,20200422T0921
6,B,20200422T0922
6,K,20200422T0923
6,E,20200422T0924
6,K,20200422T0925
6,B,20200422T0926
7,M,20200422T0900
7,M,20200422T0901
7,M,20200422T0902
7,D,20200422T0903
7,I,20200422T0904
7,L,20200422T0905
7,B,20200422T0906
7,A,20200422T0907
7,N,20200422T0908
7,L,20200422T0909
7,O,20200422T0910
7,G,20200422T0911
7,D,20200422T0912
7,A,20200422T0913
7,P,20200422T0914
7,J,20200422T0915
7,H,20200422T0916
7,A,20200422T0917
7,E,20200422T0918
7,P,20200422T0919
7,G,20200422T0920
7,K,20200422T0921
7,B,20200422T0922
7,K,20200422T0923
7,E,20200422T0924
7,K,20200422T0925
7,B,20200422T0926
8,M,20200422T0900
8,M,20200422T0901
8,M,20200422T0902
8,D,20200422T0903
8,I,20200422T0904
8,L,20200422T0905
8,B,20200422T0906
8,A,20200422T0907
8,N,20200422T0908
8,L,20200422T0909
8,O,20200422T0910
8,G,20200422T0911
8,D,20200422T0912
8,A,20200422T0913
8,P,20200422T0914
8,J,20200422T0915
8,H,20200422T0916
8,A,20200422T0917
8,E,20200422T0918
8,P,20200422T0919
8,G,20200422T0920
8,K,20200422T0921
8,B,20200422T0922
8,K,20200422T0923
8,E,20200422T0924
8,K,20200422T0925
8,B,20200422T0926
9,M,20200422T0900
9,M,20200422T0901
9,M,20200422T0902
9,D,20200422T0903
9,I,20200422T0904
9,L,20200422T0905
9,B,20200422T0906
9,A,20200422T0907
9,N,20200422T0908
9,L,20200422T0909
9,O,20200422T0910
9,G,20200422T0911
9,D,20200422T0912
9,A,20200422T0913
9,P,20200422T0914
9,J,20200422T0915
9,H,20200422T0916
9,A,20200422T0917
9,E,20200422T0918
9,P,20200422T0919
9,G,20200422T0920
9,K,20200422T0921
9,B,20200422T0922
9,K,20200422T0923
9,E,20200422T0924
9,K,20200422T0925
9,B,20200422T0926
10,M,20200422T0900
10,M,20200422T0901
10,M,20200422T0902
10,D,20200422T0903
10,I,20200422T0904
10,L,20200422T0905
10,B,20200422T0906
10,A,20200422T0907
10,N,20200422T0908
10,L,20200422T0909
10,O,20200422T0910
10,G,20200422T0911
10,D,20200422T0912
10,A,20200422T0913
10,P,20200422T0914
10,J,20200422T0915
